기사 제목,기사 링크
"국민 54.2% ""탈북어민 북송사건 정부 대응 부적절""",http://www.newsis.com/view/?id=NISX20221110_0002081447&cID=10301&pID=10300
국민 66% ‘북한인권에 관심’ 70% '정부가 북한인권 문제 제기해야',http://www.konas.net/article/article.asp?idx=59735
죽어서도 외로웠던 20년차 탈북민,http://weekly.khan.co.kr/khnm.html?mode=view&code=115&artid=202211041117011
숨진 뒤 1년 가까이 방치된 탈북민...관리시스템 '빈틈',https://www.ytn.co.kr/_ln/0103_202211080544291057
남한생활 20년···그는 죽어서도 외로웠다,https://www.khan.co.kr/national/national-general/article/202211070659001
"NKDB·NKSR, ‘북한이탈주민 경제사회통합 실태조사’ 결과 보고",https://www.christiantoday.co.kr/news/350789
"""北인권범죄 기록, 세계기록유산 등재 추진""",http://news.mk.co.kr/newsRead.php?no=964374&year=2022
탈북민 10명 중 3명 '월가구소득 100만원' 미만... '결혼이민자보다 열악',https://www.bbc.com/korean/news-63411058?xtor=AL-73-%5Bpartner%5D-%5Bnaver%5D-%5Bheadline%5D-%5Bkorean%5D-%5Bbizdev%5D-%5Bisapi%5D
[월드 프리즘] 러시아의 우크라이나 학살에 참여할 가능성 높아지는 '북한'.....,http://www.wikileaks-kr.org/news/articleView.html?idxno=131700
"태영호 ""통일부, 하나원 인권조사에 민간단체 출입 허용해야""",http://www.edaily.co.kr/news/newspath.asp?newsid=01735126632497512
"40대 여성 고독사에 탈북민들 '눈물'…""지역 밀착형 관리해야""",http://www.newspim.com/news/view/20221027001212
"""탈북민 소득·고용, 호전됐지만 여전히 열악""",https://www.ytn.co.kr/_ln/0101_202210251809157229
"""탈북민, 코로나19에도 소득·고용 늘었지만 여전히 열악""",https://www.yna.co.kr/view/AKR20221025122300504?input=1195m
2022 북한이탈주민 경제사회통합 현황은?,https://www.yna.co.kr/view/PYH20221025153700013?input=1196m
2022 북한이탈주민 경제사회통합 현황 세미나,https://www.yna.co.kr/view/PYH20221025153600013?input=1196m
2022 북한이탈주민 경제사회통합 현황은?,https://www.yna.co.kr/view/PYH20221025153800013?input=1196m
개회사하는 신영호 북한인권정보센터 이사장,https://www.yna.co.kr/view/PYH20221025153500013?input=1196m
2022 북한이탈주민 경제사회통합 현황 세미나,https://www.yna.co.kr/view/PYH20221025153400013?input=1196m
2022 북한이탈주민 경제사회통합 현황 세미나,https://www.yna.co.kr/view/PYH20221025153200013?input=1196m
탈북민 399명 중 71명 올해 대북 송금…경제활동인구 69%,http://www.konas.net/article/article.asp?idx=59605
[이번 주 국회에서는] 내년 예산안 윤대통령 시정연설 등 본회의 개최,https://www.straightnews.co.kr/news/articleView.html?idxno=219240
"""탈북민 10명중 2명, 올해 북한 가족·지인 등에 송금 경험""",https://www.yna.co.kr/view/AKR20221021132400504?input=1195m
“北 인권 개선 목표 시민단체와 협력 강화”,http://www.segye.com/content/html/2022/10/18/20221018519914.html?OutUrl=naver
"서울 유엔인권사무소장 ""북한인권 개선 위해 시민사회와 협력""",https://www.yna.co.kr/view/AKR20221017159500504?input=1195m
"'탈북어민 강제북송' 수사 검찰, 노영민 전 비서실장 16일 소환",https://www.news1.kr/articles/4833070
[이번 주 국회에서는] 법사위 등 14개 상임위 국정감사 진행,https://www.straightnews.co.kr/news/articleView.html?idxno=218512
새 인권위원 후보에 김원규·김종민·동영진·박승렬,http://news.heraldcorp.com/view.php?ud=20221011000549
NKDB 북한인권·종교자유백서 중단 2년째… 하나원 조사 재개 기대,https://www.christiantoday.co.kr/news/350314
맞벌이 '돌밥돌밥'에 지쳤다…북한 평양서 '밥공장' 인기,https://www.yna.co.kr/view/AKR20221003016000504?input=1195m
檢 '서해 피격' 연평도 해역 현장 검증 진행…수사 참고,https://www.news1.kr/articles/4818084
[Who Is ?] 김진욱 고위공직자범죄수사처 처장,https://www.businesspost.co.kr/BP?command=article_view&num=294017
[단독] ‘남북 경색’ 이유로… 北 억류자들 송환 손 놓은 尹정부,http://www.segye.com/content/html/2022/09/27/20220927515550.html?OutUrl=naver
"[이번 주 국회에서는] 정기국회, 12개 상임위 증인·참고인 출석요구 '초미 관...",https://www.straightnews.co.kr/news/articleView.html?idxno=217722
"[단독] 남북 대화 매달려… 文정부, 北 억류 국민 6명 외면했다",http://www.segye.com/content/html/2022/09/25/20220925508381.html?OutUrl=naver
"유엔 인권기구 ""북한 군인들 가혹한 환경, 장기간 강제노동""",http://www.newsis.com/view/?id=NISX20220923_0002024035&cID=10101&pID=10100
"유엔 인권기구 “북한 군인들 가혹한 환경, 장기간 강제노동”",https://www.voakorea.com/a/6759095.html
檢 '강제북송' 최고 윗선 소환 임박…'서해피격' 압색 2~3주 더 걸려,https://www.news1.kr/articles/4810781
"檢, ‘탈북 어민 북송’ 김연철 前장관 재소환...외교안보 윗선 수사 범위 확...",https://thepublic.kr/news/view/1065586696031586
"'탈북어민 강제북송' 수사 검찰, 김연철 전 통일부 장관 이틀째 조사",http://moneys.mt.co.kr/news/mwView.php?no=2022092118324433720
"'강제북송' 수사 검찰, 김연철 전 통일부 장관 이틀 연속 소환",http://news.mt.co.kr/mtview.php?no=2022092117543532184
"김연철 전 장관 검찰 소환 조사...탈북어민 강제북송 혐의, 피고발인 신분",https://www.gokorea.kr/news/articleView.html?idxno=732864
"檢, 김연철 前장관 2차 소환…'강제북송' 외교안보 윗선 수사 속도",http://www.newsis.com/view/?id=NISX20220921_0002021605&cID=10201&pID=10200
"검찰, '강제북송' 김연철·김유근 연이어 소환… 정의용·서훈도 곧 조사 전망",https://www.newdaily.co.kr/site/data/html/2022/09/21/2022092100172.html
'탈북어민 강제북송' 김연철·김유근 재소환…정의용·서훈도 조만간 소환 방...,https://www.dailian.co.kr/news/view/1154626/?sc=Naver
"검찰, '탈북어민 강제 북송 의혹' 김연철 전 통일부 장관 연이틀 소환",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4847055
"檢, ‘탈북어민 강제 북송 사건’ 김연철 전 통일부 장관 ‘소환조사’‥‘윗...",https://thepublic.kr/news/view/1065591834676886
"검찰, '탈북어민 강제북송' 김연철·김유근 연이어 소환",https://imnews.imbc.com/news/2022/society/article/6409885_35673.html
"검찰, '강제북송' 김연철 前장관 소환…윗선 수사 본격화",https://www.asiatoday.co.kr/view.php?key=20220921010011588
'탈북어민 강제북송' 김연철 전 통일부 장관 소환…정의용·서훈도 임박,https://www.dailian.co.kr/news/view/1154366/?sc=Naver
"檢, 김연철 前장관 소환..'탈북어민 북송' 윗선 수사 본격화?",http://www.ikbc.co.kr/article/view/kbc202209210003
"검찰, 김연철 전 장관 소환…'강제북송' 윗선 첫 조사",http://www.yonhapnewstv.co.kr/MYH20220921001100640/?input=1825m
"檢, ‘탈북어민 강제북송’ 김연철 전 통일부장관 소환조사",http://www.segye.com/content/html/2022/09/20/20220920517823.html?OutUrl=naver
"[단독] ""청와대 인사가 북송 독촉"" 검찰 진술 확보…'윗선' 수사 본격화",https://hankookilbo.com/News/Read/A2022092014300000771?did=NA
"검찰, '강제북송' 김연철 前통일부 장관 소환조사",https://view.asiae.co.kr/article/2022092023282004889
"檢, 김연철 전 통일부 장관 소환...'강제 북송' 첫 윗선 조사",https://www.ytn.co.kr/_ln/0103_202209202144073410
"검찰, '탈북어민 강제북송 논란' 김연철 전 통일부 장관 소환",http://www.busan.com/view/busan/view.php?code=2022092020183517889
"檢, ‘강제 북송’ 김연철 전 통일부 장관 소환… ‘윗선’ 물꼬 트나",https://news.kmib.co.kr/article/view.asp?arcid=0017490531&code=61121111&cp=nv
檢 ‘탈북어민 강제북송’ 김연철 前 장관 소환…‘윗선’ 조준,https://www.donga.com/news/article/all/20220920/115549705/2
"검찰, '강제 북송' 김연철 전 통일부 장관 소환",https://daily.hankooki.com/news/articleView.html?idxno=873343
"檢 ‘강제북송’ 관련 김연철 전 장관 소환, ‘윗선’ 수사 시작",https://www.seoul.co.kr/news/newsView.php?id=20220920500226&wlog_tag3=naver
'강제북송' 김연철 前통일부 장관 소환…윗선 조준,http://news.heraldcorp.com/view.php?ud=20220920000740
'강제북송' 김연철 前통일부 장관 소환‥윗선 수사 본격화,https://imnews.imbc.com/news/2022/society/article/6409621_35673.html
"檢, '탈북어민 강제북송' 김연철 전 통일부 장관 소환",https://www.news1.kr/articles/4808392
강제북송' 김연철 前통일부 장관 소환…윗선 수사 본격화 되나,http://www.getnews.co.kr/news/articleView.html?idxno=599414
"검찰, ‘어민 북송’ 김연철 전 통일부 장관 조사…본격 ‘윗선’ 수사",https://www.hani.co.kr/arti/society/society_general/1059418.html
"검찰, '탈북어민 강제북송' 김연철 전 통일부 장관 소환",http://news.mt.co.kr/mtview.php?no=2022092019210334306
'강제북송' 김연철 前통일부 장관 소환…윗선 수사 본격화(종합),https://www.yna.co.kr/view/AKR20220920067951004?input=1195m
"檢, 김연철 전 통일부 장관 소환...'강제 북송' 첫 윗선 조사",https://www.ytn.co.kr/_ln/0103_202209201924275079
"검찰, '탈북 어민 강제북송' 김준환 前 국정원 3차장 소환 조사",http://news.tvchosun.com/site/data/html_dir/2022/09/20/2022092090165.html
"검찰, ‘탈북어민 강제북송’ 김연철 전 통일부 장관 소환···‘윗선’ 수사...",https://www.khan.co.kr/national/court-law/article/202209201450001
[라이프칼럼] 세상에 눈을 뜨다,http://news.heraldcorp.com/view.php?ud=20220920000366
‘강제 북송’ 김유근 前 1차장 소환 조사,https://news.kmib.co.kr/article/view.asp?arcid=0924264423&code=11131900&cp=nv
'강제 북송' 국가안보실 차장 조사…文청와대 겨냥,http://www.yonhapnewstv.co.kr/MYH20220919023300641/?input=1825m
"검찰, '탈북어민 강제 북송' 김유근 전 국가안보실 1차장 소환",https://www.dailian.co.kr/news/view/1153620/?sc=Naver
‘강제북송 핵심’ 김유근 전 靑1차장 소환…정의용·서훈 남았다,https://www.joongang.co.kr/article/25102758
‘탈북어민 북송’ 김유근 전 국가안보실 1차장 소환,https://news.kbs.co.kr/news/view.do?ncd=5558859&ref=A
"검찰, ‘탈북어민 강제북송’ 김유근 전 국가안보실 1차장 소환",https://www.khan.co.kr/national/court-law/article/202209191605011
"檢, '탈북어민 강제북송' 김유근 전 靑국가안보실 1차장 소환",http://www.fnnews.com/news/202209191559518130
"'탈북어민 북송 관련'… 김유근 전 국가안보실 차장, 검찰 소환",http://moneys.mt.co.kr/news/mwView.php?no=2022091915112087669
"검찰, ‘강제북송’ 김유근 前 국가안보실 1차장 소환 조사",https://www.etoday.co.kr/news/view/2173872
"검찰, '탈북어민 강제북송' 김유근 전 靑국가안보실 1차장 소환",https://www.hankyung.com/society/article/2022091901007
"검찰, '탈북어민 강제북송' 김유근 전 국가안보실 1차장 소환",https://view.asiae.co.kr/article/2022091915344285842
檢 '탈북어민 북송' 관련 김유근 전 안보실 1차장 소환,https://www.nocutnews.co.kr/news/5819493
검찰 '탈북어민 강제북송' 김유근 전 靑국가안보실 1차장 소환,https://www.news1.kr/articles/4806720
"검찰, ‘탈북어민 강제 북송’ 김유근 전 국가안보실 1차장 소환",https://biz.chosun.com/topics/law_firm/2022/09/19/NHUF3QJQCVCHFHDCD7XLNUJIJI/?utm_source=naver&utm_medium=original&utm_campaign=biz
"검찰, ‘강제북송’ 김유근 전 국가안보실 1차장 소환 조사",https://www.seoul.co.kr/news/newsView.php?id=20220919500125&wlog_tag3=naver
"검찰, '탈북 어민 강제 북송' 김유근 전 청와대 1차장 소환",http://www.obsnews.co.kr/news/articleView.html?idxno=1366784
"檢, ""北송환 예정입니다"" 문자 받은 前국가안보실 1차장 소환",http://www.newsis.com/view/?id=NISX20220919_0002018063&cID=10201&pID=10200
"검찰, '탈북어민 강제북송' 김유근 전 국가안보실 1차장 소환",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4845391
"檢, '탈북어민 강제북송' 김유근 소환…노영민·서훈 등 줄소환되나",https://www.asiatoday.co.kr/view.php?key=20220919010010212
‘탈북 어민 강제 북송’ 김유근 전 청와대 국가안보실 1차장 소환 조사,https://www.chosun.com/national/court_law/2022/09/19/6JMT3RZT2VBRJAREOJY46EUP5A/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"검찰, '탈북어민 강제북송' 김유근 전 국가안보실 1차장 소환",https://news.bbsi.co.kr/news/articleView.html?idxno=3081626
"檢, ‘탈북어민 북송 예정’ 문자 받은 김유근 前 청와대 차장 소환",http://www.segye.com/content/html/2022/09/19/20220919510643.html?OutUrl=naver
"검찰, 김유근 전 청와대 안보차장 조사…어민 북송 관련",https://www.hani.co.kr/arti/society/society_general/1059175.html
"檢, '탈북어민 강제북송' 김유근 전 국가안보실 1차장 소환",http://www.getnews.co.kr/news/articleView.html?idxno=599171
"검찰, '어민 북송' 김유근 전 국가안보실 1차장 소환",https://www.ytn.co.kr/_ln/0103_202209191431208136
"檢, ‘귀순어민 강제북송’ 연루 김유근 전 국가안보실 1차장 소환조사",http://www.munhwa.com/news/view.html?no=2022091901039921163001
"검찰, '탈북어민 강제북송'전 국가안보실 1차장 소환",http://www.newspim.com/news/view/20220919000572
"검찰, '어민 북송' 김유근 전 국가안보실 1차장 소환",https://www.ytn.co.kr/_ln/0103_202209191431188538
"검찰, ‘탈북어민 강제북송’ 전 국가안보실 1차장 소환",http://news.heraldcorp.com/view.php?ud=20220919000553
"검찰, '탈북어민 강제북송' 김유근 전 국가안보실 차장 소환 조사 중",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1004730900
"검찰, '탈북어민 강제북송' 김유근 전 국가안보실 1차장 소환",https://www.yna.co.kr/view/AKR20220919091100004?input=1195m
"""탈북민 1명에 직원은 85명""...12주 교육비만 1.7억",https://www.ytn.co.kr/_ln/0101_202209171015131675
"""탈북민 1명에 직원은 85명""...12주 교육비만 1.7억",https://www.ytn.co.kr/_ln/0101_202209170723079946
"[북한인권 인덱스] #2 기각된 인권, 연좌제",https://www.dailynk.com/20220914-3
文정부 향하는 檢수사… 박지원·서훈 소환 나서나,http://www.newscj.com/article/20220912580186
文정부 향하는 서해피격·강제북송 檢수사…박지원 소환 임박,https://www.news1.kr/articles/4799422
"[인터뷰]""인적왕래로 정책 패러다임 바꿔야 남북 관계 근본적 변화""",http://www.edaily.co.kr/news/newspath.asp?newsid=03312806632457168
[인사] 매일경제신문 / 고용노동부 / 교육부 등,http://news.mk.co.kr/newsRead.php?no=772207&year=2022
"'탈북 외교관' 與 태영호, 내일 살몬 유엔북한인권보고관과 단독 면담",https://www.news1.kr/articles/4787753
"통일부, 내년 예산 500억 깎인 1조4,520억원",http://www.tongilnews.com/news/articleView.html?idxno=206026
통일부 내년 예산 1조4520억원 편성…민생협력에 7500억원 책정,https://view.asiae.co.kr/article/2022083011211422308
[尹정부 첫 예산]통일부 1.4조원…'담대한 구상' 반영(종합),http://www.newsis.com/view/?id=NISX20220829_0001994491&cID=10301&pID=10300
[尹정부 첫 예산]통일부 1.4조원…담대한 구상 실현 반영,http://www.newsis.com/view/?id=NISX20220829_0001994220&cID=10301&pID=10300
[동서남북] “인권침해 기록 뭉개는 자는 독재 방조범”,https://www.chosun.com/opinion/dongseonambuk/2022/08/30/3V577ILCRZA3TJ6R2BEB6KJHKA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
유엔 北인권보고관 “피해자 중심 접근 필요”,http://www.segye.com/content/html/2022/08/29/20220829520249.html?OutUrl=naver
살몬 北인권보고관 첫 방한…피해자 중심 접근 강조,http://www.edaily.co.kr/news/newspath.asp?newsid=03017606632432240
"檢, '강제북송 靑 문건' 사본 확보… 어떤 얘기 오갔나 들여다본다",https://www.newdaily.co.kr/site/data/html/2022/08/29/2022082900163.html
"살몬, 대북단체 면담… 공무원피살 등 규명요구 서한 받아",http://www.munhwa.com/news/view.html?no=2022082901030421335001
"살몬 유엔 북한인권보고관, 오늘부터 대북 단체들 면담 등 방한 공식 일정",http://www.lkp.news/news/articleView.html?idxno=23226
"살몬 북한인권 보고관 본격 행보, 北 강력 반발",https://view.asiae.co.kr/article/2022082908455560463
유엔 북한인권보고관 방한‥대북 관련단체 면담,https://imnews.imbc.com/replay/2022/nw930/article/6402527_35736.html
"유엔 북한인권보고관, 대북단체 면담‥3일까지 한국 방문",https://imnews.imbc.com/news/2022/politics/article/6402512_35666.html
"살몬 유엔 북한인권보고관, 대북 단체들 면담...공식 일정 시작",https://www.ytn.co.kr/_ln/0101_202208290855269864
[연합뉴스 이 시각 헤드라인] - 07:30,https://www.yna.co.kr/view/AKR20220829011400011?input=1195m
"中 전문가 ""절대 다수 중국인 김치 한국 원조 인정… 일부 보도만 보지 말라”",http://www.segye.com/content/html/2022/08/28/20220828516516.html?OutUrl=naver
"살몬 유엔 북한인권보고관, 대북 단체들 면담…방한 공식일정",https://www.yna.co.kr/view/AKR20220828043600504?input=1195m
"유엔 北인권보고관, 29일부터 방한… 서해피격 유족과도 면담",http://moneys.mt.co.kr/news/mwView.php?no=2022082616443972272
"유엔 北인권보고관, 하나원·판문점 방문…통일·외교 장관도 만나",https://www.news1.kr/articles/4783377
한국 통일부 “유엔 북한인권결의 적극 동참하고 인권상황 조명할 것”…“전...,https://www.voakorea.com/a/6715043.html
"NKDB 인권장학회, 2022년 제2기 장학금 총 1,400만 원 수여",https://www.christiantoday.co.kr/news/349567
"유엔 北인권특별보고관, 29일 국군포로·납북자 유족 면담",https://www.news1.kr/articles/4781594
[기획: 한국 정부 북한인권정책 진단1부] “로드맵·구심점 약해…미한 글로벌...,https://www.voakorea.com/a/6712295.html
"이원석 검찰총장 후보자 지명은 사정정국 신호탄, 文정부 인사 20여명 감옥 가...",http://www.pennmike.com/news/articleView.html?idxno=56554
"檢, '강제 북송' '원전 폐쇄' 기록물 본격 확인… 文정부 '윗선' 겨냥",https://www.newdaily.co.kr/site/data/html/2022/08/22/2022082200217.html
대통령기록관 압수수색 수일 계속,http://www.naeil.com/news_view/?id_art=433180
"檢, ‘탈북 어민 강제 북송’ 관련자 수사 잰걸음…줄소환 예고",http://www.segye.com/content/html/2022/08/21/20220821516092.html?OutUrl=naver
"대통령기록관 압수수색에 前차관 재소환…이원석號, '文정부 수사' 속도",https://www.nocutnews.co.kr/news/5805029
"檢, ‘북송-원전’ 대통령기록물 본격 확보 나서",https://www.donga.com/news/article/all/20220822/115076697/1
"檢, 22일부터 ‘북송-원전’ 대통령기록물 본격 확보 나서기로",https://www.donga.com/news/article/all/20220821/115075767/1
"검찰, '탈북어민 강제북송' 서호 전 통일부 차관 재소환",http://daily.hankooki.com/news/articleView.html?idxno=862200
'탈북어민 강제북송' 대통령기록관 본격 압색…22일부터 선별·확인 작업,https://www.news1.kr/articles/4778946
"檢, ‘강제북송’ 서호 전 차관 재소환…대통령기록관도 내일부터 본격 압색",https://www.seoul.co.kr/news/newsView.php?id=20220821500090&wlog_tag3=naver
‘탈북어민 강제북송 의혹’ 관련 서호 전 통일부 차관 검찰 조사,http://www.newscj.com/article/20220821580184
"검찰, ‘어민 강제 북송’ 서호 전 통일부 차관 엿새만에 재소환",https://www.dailian.co.kr/news/view/1144679/?sc=Naver
"검찰, '강제 북송' 서호 전 통일부 차관 재소환",https://imnews.imbc.com/news/2022/society/article/6400173_35673.html
"검찰, 탈북어민 강제북송 의혹 서호 전 차관 재소환",https://www.ajunews.com/view/20220821143741551
"‘강제북송’ 자료 대통령기록관에 있나… 檢, 내일부터 본격 압수수색",https://www.seoul.co.kr/news/newsView.php?id=20220821500054&wlog_tag3=naver
"검찰, ‘강제 북송 사건’ 서호 전 통일부 차관 엿새 만에 재소환",https://www.etoday.co.kr/news/view/2165374
"검찰, ‘탈북어민 강제 북송’ 서호 전 통일부 차관 재소환",https://news.kbs.co.kr/news/view.do?ncd=5537790&ref=A
"검찰, '탈북어민 강제북송' 서호 전 통일부 차관 재소환",https://www.newdaily.co.kr/site/data/html/2022/08/21/2022082100042.html
"檢, '탈북어민 강제북송' 서호 前차관 재소환",https://www.nocutnews.co.kr/news/5804962
"검찰, '어민 강제 북송' 서호 전 통일부 차관 재소환",https://news.sbs.co.kr/news/endPage.do?news_id=N1006867478&plink=ORI&cooper=NAVER
"검찰, ‘탈북어민 강제 북송’ 서호 전 통일부 차관 재소환",https://www.joongang.co.kr/article/25095786
"검찰, '탈북어민 강제북송' 서호 전 통일부 차관 재소환",http://news.mt.co.kr/mtview.php?no=2022082111363328268
"검찰, ‘탈북어민 강제 북송’ 서호 전 통일부 차관 재소환",https://biz.chosun.com/topics/law_firm/2022/08/21/UIKI2PDNJVCFPM3K5H4PHPUF3I/?utm_source=naver&utm_medium=original&utm_campaign=biz
"검찰, 서호 전 통일부 차관 엿새 만에 재소환… '탈북어민 강제북송' 관련",https://view.asiae.co.kr/article/2022082112393899532
"검찰, '탈북어민 강제북송' 서호 전 차관 재소환",http://www.yonhapnewstv.co.kr/MYH20220821003600038/?input=1825m
검찰 '탈북어민 강제북송 사건' 서호 前통일부 차관 재소환,http://www.edaily.co.kr/news/newspath.asp?newsid=01466166632429616
"검찰, ‘강제북송’ 관여 서호 전 차관 재소환",https://www.chosun.com/national/court_law/2022/08/21/5W3VRGBLO5C6TJM2OBZDULWFJM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"검찰, '어민 강제 북송' 서호 전 통일부 차관 재소환",https://www.ytn.co.kr/_ln/0103_202208211139066786
"檢, '탈북어민 강제북송' 서호 前통일부 차관 재소환",http://www.newsis.com/view/?id=NISX20220821_0001985179&cID=10201&pID=10200
"검찰, '탈북어민 강제 북송' 서호 전 통일부 차관 재소환",https://www.asiatoday.co.kr/view.php?key=20220821010012112
검찰 '탈북어민 강제북송' 서호 전 통일부차관 재소환,https://www.news1.kr/articles/4778794
"검찰, '탈북어민 강제북송' 서호 전 차관 재소환",http://www.yonhapnewstv.co.kr/tvscript/AKR20220821022400640/?input=2039m
"검찰, ‘탈북민 강제 북송’ 서호 전 통일부 차관 재소환",http://news.heraldcorp.com/view.php?ud=20220821000094
"검찰, '탈북 어민 강제 북송' 서호 전 통일부 차관 엿새 만에 재소환",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4827950
"검찰, '어민 강제 북송' 서호 전 통일부 차관 재소환",https://www.yna.co.kr/view/AKR20220821021000004?input=1195m
"檢, 대통령기록관 압수수색… '문재인 겨냥' 원전폐쇄·강제북송 수사 박차",https://www.newdaily.co.kr/site/data/html/2022/08/20/2022082000017.html
문 정부 청와대 겨냥 하루 두 번 압수수색,https://www.joongang.co.kr/article/25095669
"하루에 2번…문재인 靑 겨냥 검찰, 대통령기록관 압수수색 단행",https://www.joongang.co.kr/article/25095593
